country,Number_Days_Vaccinating,total_vaccinations,people_vaccinated,people_fully_vaccinated,Promedio_daily_vaccinations_raw,Promedio_daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Senegal,25,148246,148246,0,3410.6,5758.36,0.89,0.89,0,504,Sinopharm/Beijing
Serbia,70,2112074,1285223,826851,17813.17143,28824.77143,31.04,18.89,12.15,5978,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,69,90150,62457,27693,553.5652174,1318.115942,91.67,63.51,28.16,2969,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,64,792423,549254,243169,283.03125,11303.70313,13.54,9.39,4.16,4422,"Moderna, Pfizer/BioNTech"
Slovakia,75,718369,488389,229980,9578.253333,9192.84,13.16,8.95,4.21,2672,Pfizer/BioNTech
Slovenia,82,278617,179351,99266,3324.426829,3185.219512,13.4,8.63,4.77,2744,"Oxford/AstraZeneca, Pfizer/BioNTech"
South Africa,32,182983,182983,182983,5578.5625,5200.21875,0.31,0.31,0.31,91,Johnson&Johnson
South Korea,23,675426,675426,0,26485.86957,28996.13043,1.32,1.32,0,256,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,74,5993363,4106550,1886813,56922.2973,77555.40541,12.82,8.78,4.04,1957,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,51,824523,0,0,15909,16579.58824,3.85,0,0,425,Oxford/AstraZeneca
Suriname,26,9196,9196,0,0,353.8461538,1.57,1.57,0,627,Oxford/AstraZeneca
Sweden,83,1293923,910425,383498,1107.650602,14530.50602,12.81,9.01,3.8,2829,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,53,1176875,744681,432194,18483.84906,17685.41509,13.6,8.6,4.99,2336,"Moderna, Pfizer/BioNTech"
Thailand,15,53842,53842,0,462.8666667,2702.666667,0.08,0.08,0,68,"Oxford/AstraZeneca, Sinovac"
Trinidad and Tobago,8,440,440,0,0,55.125,0.03,0.03,0,45,Oxford/AstraZeneca
Tunisia,8,6861,6861,0,319.375,803.375,0.06,0.06,0,83,Sputnik V
Turkey,66,12844577,8007734,4836843,194614.803,189250.4242,15.23,9.49,5.73,3561,Sinovac
Turks and Caicos Islands,30,6433,6433,0,0,214.6,16.62,16.62,0,5734,Pfizer/BioNTech
Uganda,10,13027,13027,0,1201.2,555.1,0.03,0.03,0,39,Oxford/AstraZeneca
Ukraine,24,104342,104341,1,2506.666667,3347.791667,0.24,0.24,0,186,Oxford/AstraZeneca
United Arab Emirates,74,7124146,0,0,85106.01351,81215.5,72.03,0,0,9551,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,96,28274802,26263732,2011070,266633.6563,279238.4688,41.65,38.69,2.96,7397,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,90,118313818,77230061,41934629,1174944,1235862.556,35.38,23.09,12.54,7341,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Uruguay,21,297865,297865,0,14166.38095,12194.61905,8.57,8.57,0,4327,"Pfizer/BioNTech, Sinovac"
Venezuela,16,12194,12194,0,0,544,0.04,0.04,0,42,Sputnik V
Vietnam,13,30971,30971,0,2382.384615,1654.846154,0.03,0.03,0,38,Oxford/AstraZeneca
Wales,96,1523077,1204101,318976,14703.38542,14804.98958,48.31,38.19,10.12,10373,"Oxford/AstraZeneca, Pfizer/BioNTech"
Zimbabwe,30,41687,41687,0,1345.766667,1333.5,0.28,0.28,0,52,Sinopharm/Beijing
