country,Number_Days_Vaccinating,Promedio_daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
England,96,235003.4896,42.21,39.69,2.52,7488,"Oxford/AstraZeneca, Pfizer/BioNTech"
Equatorial Guinea,1,0.0,0.47,0.41,0.06,0,Sinopharm/Beijing
Estonia,82,2397.573171,16.0,11.87,4.13,4439,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Faeroe Islands,49,107.32653059999998,19.12,10.86,8.25,2046,"Moderna, Pfizer/BioNTech"
Falkland Islands,16,137.8125,49.73,49.73,0.0,8900,Oxford/AstraZeneca
Finland,79,9054.164557,14.23,12.66,1.58,3539,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,81,91101.30864,11.63,8.26,3.37,3146,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,82,118931.5122,12.25,8.46,3.79,2531,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Ghana,18,25648.77778,1.35,1.35,0.0,483,Oxford/AstraZeneca
Gibraltar,69,737.6521739,151.86,88.79,63.07,24072,Pfizer/BioNTech
Greece,82,16216.34146,13.5,9.18,4.32,2097,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Greenland,34,74.73529412,9.04,6.92,2.12,1356,Pfizer/BioNTech
Grenada,33,233.63636359999998,7.65,7.65,0.0,2933,Oxford/AstraZeneca
Guatemala,22,2072.409091,0.34,0.34,0.0,321,Moderna
Guernsey,48,464.85416669999995,43.82,32.06,11.76,10947,Pfizer/BioNTech
Guinea,1,0.0,0.19,0.0,0.0,0,Sputnik V
Guyana,37,388.8378378,1.97,1.97,0.0,695,Oxford/AstraZeneca
Honduras,20,804.15,0.38,0.38,0.0,452,"Moderna, Oxford/AstraZeneca"
